t,synthetic,treated,month,gap,synthetic_aligned,centered_gap_sq
1,3.043387152800814,3.445533214944948,2023m4,.402146062144134,3.500955446637727,.0030716237658081
2,3.166632983332147,3.589059139907401,2023m5,.4224261565752534,3.62420127716906,.0012349698113173
3,3.128094983023497,3.708191735212441,2023m6,.5800967521889442,3.58566327686041,.0150132231061255
4,3.06804785424271,3.502248584355232,2023m7,.4342007301125221,3.525616148079623,.0005460430344135
5,3.164654548197299,3.69957209120093,2023m8,.534917543003631,3.622222842034212,.005982906346655
6,3.144848438031962,3.624074275518873,2023m9,.4792258374869114,3.602416731868875,.0004690491969516
7,3.228393178999228,3.673511961487725,2023m10,.445118782488497,3.685961472836141,.0001549903328143
8,3.232331538885513,3.733852823403605,2023m11,.5015212845180925,3.689899832722426,.0019318653898199
9,3.0951849556438,3.513334922519476,2023m12,.4181499668756756,3.552753249480713,.001553804500423
10,3.165036200005039,3.591266591600212,2024m1,.4262303915951726,3.622604493841952,.0009820641169129
11,3.101192705097125,3.521938954280619,2024m2,.4207462491834946,3.558760998934038,.0013558629724583
12,3.083130554045566,3.471655802648677,2024m3,.3885252486031119,3.540698847882478,.0047669420951567
13,3.149181508352173,3.641263584169348,2024m4,.4920820758171747,3.606749802189086,.001191201146581
14,3.133724961727395,3.59429399485156,2024m5,.4605690331241656,3.591293255564307,9.00443627006e-06
15,3.125189027107979,3.524004756942136,2024m7,.3988157298341566,3.582757320944892,
16,3.102655322193104,3.601140523147863,2024m8,.4984852009547591,3.560223616030016,
17,3.155210651325146,3.61872521874228,2024m9,.4635145674171346,3.612778945162058,
18,3.263945933960953,3.704998873530815,2024m10,.4410529395698628,3.721514227797865,
19,3.178810344558249,3.679838694064422,2024m11,.5010283495061727,3.636378638395162,
20,3.086781822892184,3.475686224210575,2024m12,.3889044013183902,3.544350116729097,
21,3.14670750578522,3.643358970750984,2025m1,.4966514649657636,3.604275799622133,
22,3.032916613695182,3.453157132664693,2025m2,.4202405189695106,3.490484907532095,
23,3.066646564823733,3.532517972227533,2025m3,.4658714074038,3.524214858660645,
24,3.111691083708487,3.495901303251414,2025m4,.3842102195429273,3.5692593775454,
25,3.065468803652865,3.591266591600212,2025m5,.5257977879473472,3.523037097489778,
26,3.024373071767703,3.548467252109883,2025m6,.5240941803421797,3.481941365604616,
27,3.100763261281698,3.498928925507807,2025m7,.3981656642261089,3.558331555118611,
28,3.016314106230106,3.518387635502148,2025m8,.5020735292720429,3.473882400067018,
29,3.13238963243726,3.626738061635355,2025m9,.4943484291980944,3.589957926274173,
